new
0,0
0.00441018,84.8
0.025562,197.4
0.0361377,197.6
0.0467137,198
0.0572895,198.2
0.0678653,198.2
0.0784413,198.4
0.0890171,198.6
0.0995931,199
0.110169,199.4
0.120745,199.8
0.131321,200
0.141896,200.2
0.152472,200.6
0.163048,201
0.173624,201.6
0.1842,202.2
0.194776,202.4
0.205352,202.8
0.215928,203.4
0.226503,204.2
0.237079,205
0.247655,206
0.258231,206.4
0.268807,206.8
0.279383,207.2
0.289959,207.6
0.300534,208.4
0.31111,209.2
0.321686,210.4
0.385141,195.2
0.406293,191
0.416869,187.2
0.427445,182.8
0.438021,179.2
0.448597,176
0.459172,172.8
0.469748,169.6
0.480324,166
0.4909,163
0.501476,160.6
0.512052,158
0.522628,155
0.533204,152.4
0.543779,150.2
0.554355,148
0.564931,145.6
0.575507,143.6
0.586083,141.2
0.596659,139
0.607235,137.4
0.61781,135.6
0.628386,133.6
0.638962,131.8
0.649538,130.2
0.660114,128.4
0.67069,127
0.681266,125.4
0.691842,123.8
0.702417,122.2
0.712993,120.8
0.723569,119.6
0.734145,118.2
0.744721,116.8
0.755297,115.6
0.765873,114.4
0.776448,113.2
0.787024,112.2
0.7976,111
0.808176,110
0.818752,109
0.829328,108
0.839904,107
0.85048,106.2
0.861055,105.2
0.871631,104.2
0.882207,103.4
0.892783,102.6
0.903359,101.8
0.913935,101
0.924511,100.2
0.935086,99.4
0.945662,98.6
0.956238,98
0.966814,97.4
0.97739,96.6
0.987966,96
0.998542,95.4
1.00912,94.8
1.01969,94.2
1.03027,93.6
1.04085,93.2
1.05142,92.6
1.062,92
1.07257,91.6
1.08315,91
1.09372,90.6
1.1043,90.2
1.11488,89.8
1.12545,89.2
1.13603,88.8
1.1466,88.4
1.15718,88
1.16776,87.8
1.17833,87.4
1.18891,87
1.19948,86.6
1.21006,86.2
1.22063,86
1.23121,85.6
1.24179,85.4
1.25236,85.2
1.26294,84.8
1.27351,84.6
1.28409,84.4
1.29467,84.2
1.30524,83.8
1.31582,83.6
1.32639,83.4
1.33697,83.2
1.34755,83.2
1.35812,83
1.3687,82.8
1.37927,82.6
1.38985,82.4
1.40042,82.4
1.411,82.2
1.42158,82.2
1.43215,82
1.44273,82
1.4533,82
1.46388,81.8
1.47446,81.8
1.48503,81.8
1.49561,81.6
1.50618,81.6
